method,record,output_mode,warp,num_samples,num_obs_per_sample,num_outputs,num_input_leads,num_classes_true,num_clusters_pred,fit_runtime_sec,fit_runtime_min,total_runtime_sec,total_runtime_min,cpu_start_rss_mb,cpu_end_rss_mb,cpu_peak_rss_mb,cpu_peak_delta_mb,ru_maxrss_start_mb,ru_maxrss_end_mb,gpu_peak_allocated_mb,cluster_labels_path
offline,112,multi-output,on,2539,90,2,2,2,3,1133.6069599149623,18.893449331916038,1133.6257502329747,18.89376250388291,3354.5167284904383,4734.87333164396,5875.103891512474,2850.5763996712835,3354.5167284904383,5875.103891512474,0.0,
online,113,single-output,off,1794,90,1,1,2,2,67.56874870934321,1.1261458118223868,67.60431293055157,1.126738548842526,1646.796647574119,1817.08007604532,1919.7351928312708,256.6377919648766,1646.796647574119,1919.7351928312708,0.0,
offline,113,single-output,off,1794,90,1,1,2,3,125.2555214378259,2.087592023963765,125.26506837629712,2.087751139604952,3230.7237296191392,3684.122575543183,3950.812004231514,666.7235717208284,3230.7237296191392,3950.812004231514,0.0,
offline,113,multi-output,off,1794,90,2,2,2,3,127.37006102883927,2.1228343504806544,127.37444560648892,2.122907426774815,4022.7886264889057,4247.280964453924,4628.14053094724,952.148916233291,4022.7886264889057,4628.14053094724,0.0,
offline,113,single-output,on,1794,90,1,1,2,3,350.1163832468592,5.83527305411432,350.1355455926025,5.835592426543375,3931.3127379140656,3972.31993037412,4136.348700214335,410.0719246005386,3931.3127379140656,4136.348700214335,0.0,
offline,113,multi-output,on,1794,90,2,2,2,3,762.7938337725425,12.713230562875708,762.80360399926,12.713393399987666,3356.570931358214,3984.773398163196,4643.540912840792,1646.91878669399,3356.570931358214,4643.540912840792,0.0,
online,114,single-output,off,1879,90,1,1,5,5,110.08805653696322,1.8348009422827203,110.1460004247792,1.83576667374632,1649.0203903767135,1864.506848959912,1984.997093332586,301.22561093168605,1649.0203903767135,1984.997093332586,0.0,
offline,114,single-output,off,1879,90,1,1,5,4,171.95174060094203,2.865862343349034,171.96484671130503,2.8660807785217504,3227.9455956794577,3676.615126777604,3977.695417409031,752.7007265785677,3227.9455956794577,3977.695417409031,0.0,
offline,114,multi-output,off,1879,90,2,2,5,4,181.9147398357653,3.031912330596088,181.92100205544224,3.0320167009240375,4030.074791170083,4472.57602867864,4895.562652854321,1057.466560439202,4030.074791170083,4895.562652854321,0.0,
offline,114,single-output,on,1879,90,1,1,5,4,348.1496638245104,5.802494397075174,348.1687185290254,5.802811975483757,3931.950796243194,4071.757097141128,4248.916834573779,442.89934358162816,3931.950796243194,4248.916834573779,0.0,
offline,114,multi-output,on,1879,90,2,2,5,4,971.4248570006596,16.190414283344328,971.4406367461464,16.19067727910244,3355.523528631346,4199.092967061618,5004.653623661486,2013.9016414996688,3355.523528631346,5004.653623661486,0.0,
online,115,single-output,off,1952,90,1,1,1,3,84.49130717923512,1.408188452987252,84.53577844141036,1.4089296406901726,1652.7333881116058,1861.175845233104,1966.1681143699243,262.4806728420504,1652.7333881116058,1966.1681143699243,0.0,
offline,115,single-output,off,1952,90,1,1,1,4,195.32696252087305,3.2554493753478844,195.34185028367625,3.2556975047279377,3225.210128822451,3815.8882408915433,4193.853245212282,944.912510801846,3225.210128822451,4193.853245212282,0.0,
offline,115,multi-output,off,1952,90,2,2,1,3,115.30638494202712,1.9217730823671186,115.31035424057497,1.921839237342916,4026.157664843816,4417.029989611062,4852.858816149947,1089.5720663472136,4026.157664843816,4852.858816149947,0.0,
offline,115,single-output,on,1952,90,1,1,1,4,586.9151058834599,9.781918431390999,586.947228545292,9.7824538090882,3939.391312388895,3988.31783892282,4184.023945058517,489.2652653392432,3939.391312388895,4184.023945058517,0.0,
offline,115,multi-output,on,1952,90,2,2,1,3,780.4503402788027,13.007505671313378,780.4610877259115,13.007684795431858,3353.750047337494,4012.1026290057134,4829.384091412575,2043.2036560171528,3353.750047337494,4829.384091412575,0.0,
online,116,single-output,off,2411,90,1,1,3,9,186.83842112816143,3.113973685469357,186.93676190057693,3.115612698342949,1658.2679347075828,1920.5183600034168,2103.2832021603967,456.9121053924489,1658.2679347075828,2103.2832021603967,0.0,
offline,116,single-output,off,2411,90,1,1,3,7,423.17890183051,7.052981697175166,423.2111564001427,7.053519273335712,3222.8420025587466,4080.786811325917,4532.250693742873,1128.659706042392,3222.8420025587466,4532.250693742873,0.0,
offline,116,multi-output,off,2411,90,2,2,3,7,506.6562953356899,8.444271588928165,506.6737364348826,8.444562273914709,4018.293460046554,5356.818516555586,6155.491340291423,1996.682059339592,4018.293460046554,6155.491340291423,0.0,
offline,116,single-output,on,2411,90,1,1,3,7,1173.6398087264693,19.560663478774487,1173.704043629116,19.561734060485268,3929.222247469808,4375.060412079637,4642.918441492257,669.6450735315519,3929.222247469808,4642.918441492257,0.0,
offline,116,multi-output,on,2411,90,2,2,3,7,1409.037222222534,23.4839537037089,1409.0748358847814,23.48458059807969,3343.403603063496,5387.872687215616,6532.404075677899,2861.3284711557067,3343.403603063496,6532.404075677899,0.0,
