record,method,fit_minutes,n_samples,n_true_clusters,n_pred_clusters,acc,ari,ami,nmi,homogeneity,completeness,v_measure,silhouette,dbscan_score,dbscan_eps,dbscan_min_samples,dbscan_retained_fraction,dbscan_n_clusters_no_noise,dec_k,dec_auto_k_silhouette
116,DEC,1.0605163772900899,2411,3,2,0.9543757776856077,0.09519164719388871,0.12470656962653068,0.12571002250108743,0.27613028420942815,0.0813792048173601,0.12571002250108743,0.4248896837234497,,,,,,2,0.7738932371139526
116,HDP-GPC,nan,2411,3,7,0.9991704686851929,0.18111558405481212,0.3538967392734132,0.35578792064264775,0.9647749484358988,0.21811130143999996,0.3557879206426478,0.15094439685344696,,,,,,,
117,CAE+DPGMM,0.4442809422810872,1535,2,12,0.9993485342019544,0.0007187158259924064,0.0011962489122654177,0.0024972478079592878,0.3436108804006682,0.0012531777402276663,0.002497247807959288,0.2918051481246948,,,,,,,
117,CAE+DBSCAN,0.4292306900024414,1535,2,3,0.9993485342019544,-0.0012311636996907582,-0.0009753631958949849,0.00029760035045620553,0.00543740470217136,0.0001529868169093085,0.00029760035045620553,0.403184711933136,0.6911448836326599,0.25530467581686545,5.0,0.958957654723127,2.0,,
117,DEC,0.6837172547976176,1535,2,2,0.9993485342019544,0.0003881321645574466,0.00027858803681989584,0.0015715223090775753,0.09985899331908912,0.0007919931162755023,0.001571522309077575,0.5808795094490051,,,,,,2,0.5884209871292114
117,HDP-GPC,nan,1535,2,4,0.9993485342019544,-0.00024630470899884816,-0.0002503797388842849,0.0010477409389394656,0.10881137619352035,0.000526404836356729,0.0010477409389394656,0.5200960636138916,,,,,,,
118,CAE+DPGMM,0.6718761205673218,2278,3,22,0.9574187884108868,0.04937919012540263,0.062141300773014836,0.0676678174328224,0.2323091849078612,0.039601545880076014,0.06766781743282241,0.168326735496521,,,,,,,
118,CAE+DBSCAN,0.638405191898346,2278,3,4,0.9508340649692713,0.10803724421145454,0.05001316312257388,0.05255828881747955,0.08212692357830854,0.03864478259747729,0.05255828881747956,0.07468115538358688,0.16553868353366852,0.486562827408504,5.0,0.8463564530289728,3.0,,
118,DEC,1.0043688774108888,2278,3,3,0.9508340649692713,0.03088713711407469,0.02690660618666558,0.02829882069918401,0.05885649819318458,0.018627577523923734,0.028298820699184008,0.36688557267189026,,,,,,3,0.4102197289466858
118,HDP-GPC,nan,2278,3,5,0.9578577699736611,0.24724332367514967,0.30689016427331706,0.31070581663387636,0.19616722715397739,0.7466778847031373,0.31070581663387636,0.6937984228134155,,,,,,,
